ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,参考句,PR地址,PR编号,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cms75u7vf1bv4mov4vota005r,f56eb49f-f753-4482-bb74-e10355810efe,cms75u7vf1bv4mov4vota005r, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-native-node-node-attributes-custom-attributes-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-native-node-node-attributes-custom-attributes-h.md,,custom_attributes.h,11,未确认,P2,ArkUI,,,该句是模块级概述，但只笼统说明提供自定义节点事件定义，未概括本文件覆盖的自定义测量、布局以及不同绘制层事件能力，也未说明这些事件定义的用途，导致用户无法从概述中完整了解模块的整体功能和使用方向。,,为NativeNode API提供自定义节点的测量、布局和绘制事件定义，用于扩展自定义组件的测量、布局及各绘制层处理能力。,为NativeNode API提供自定义节点事件定义。,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,目标文档第11行原先只概括“自定义节点事件”；native-template.md第28-40行要求文件概述覆盖主要功能和使用场景，而interface/sdk_c/arkui/ace_engine/native/node_attributes/custom_attributes.h第48-84行实际包含测量、布局及内容层、前景层、浮层等绘制事件，原概述未覆盖这些能力。,将目标文档第11行改为“为NativeNode API提供自定义组件的测量、布局和绘制事件类型定义，用于注册和处理测量、布局以及内容层、前景层和浮层的绘制事件。”，并同步capi-arkui-nativemodule.md第38行文件汇总表。
cms75t6631bsymov4k528tjfc,f56eb49f-f753-4482-bb74-e10355810efe,cms75t6631bsymov4k528tjfc, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.6,检测 Markdown 文件中的术语不准确及上下文术语不一致,capi-native-node-node-attributes-custom-attributes-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-native-node-node-attributes-custom-attributes-h.md,ArkUI_NodeCustomEventType,custom_attributes.h,44,未确认,P2,ArkUI,,,同一页面第11行使用“自定义节点事件”，本行在 ArkUI_NodeCustomEventType 的详细说明中使用“自定义组件事件”。两处描述的是同一枚举所代表的事件概念，但术语不同，与页面上下文不一致，应统一为“自定义节点事件”。,,定义自定义节点事件类型。,定义自定义组件事件类型。,'- **同义不同词**：比如`固定态软键盘` vs `固定模式软键盘`、`悬浮态软键盘` vs `悬浮模式软键盘`,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/glossary/SKILL.md,,,,,否,目标文档第44行“自定义组件事件类型”与interface/sdk_c/arkui/ace_engine/native/node_attributes/custom_attributes.h第43-48行的“custom component event type”一致；文件属于NativeNode API并不等于枚举术语必须改成“自定义节点事件”。,保留目标文档第44行“定义自定义组件事件类型”，不按扫描建议改成“自定义节点事件类型”。
cms75t65t1bswmov47bntk93h,f56eb49f-f753-4482-bb74-e10355810efe,cms75t65t1bswmov47bntk93h, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.6,检测 Markdown 文件中的术语不准确及上下文术语不一致,capi-native-node-node-attributes-custom-attributes-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-native-node-node-attributes-custom-attributes-h.md,,custom_attributes.h,31,未确认,P2,ArkUI,,,同一页面第11行将该页面涉及的事件称为“自定义节点事件”，本行却将 ArkUI_NodeCustomEventType 描述为“自定义组件事件”。根据 NativeNode API 的页面语境和枚举名称中的 Node，两处指向同一事件概念，使用不同术语会造成上下文概念不一致，应统一为“自定义节点事件”。,,| [ArkUI_NodeCustomEventType](#arkui_nodecustomeventtype) | ArkUI_NodeCustomEventType | 定义自定义节点事件类型。 |,| [ArkUI_NodeCustomEventType](#arkui_nodecustomeventtype) | ArkUI_NodeCustomEventType | 定义自定义组件事件类型。 |,'- **同义不同词**：比如`固定态软键盘` vs `固定模式软键盘`、`悬浮态软键盘` vs `悬浮模式软键盘`,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/glossary/SKILL.md,,,,,否,目标文档第31行“自定义组件事件类型”与interface/sdk_c/arkui/ace_engine/native/node_attributes/custom_attributes.h第43-48行的枚举注释一致；原第11行是文件级NativeNode API范围说明，二者层级不同。,保留目标文档第31行汇总表中的“定义自定义组件事件类型”，第11行仅按第1条记录补全功能范围。
cms75o6s51bmumov4hi4uahx2,f56eb49f-f753-4482-bb74-e10355810efe,cms75o6s51bmumov4hi4uahx2, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-native-node-node-attributes-custom-attributes-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-native-node-node-attributes-custom-attributes-h.md,,custom_attributes.h,31,未确认,P2,ArkUI,,,第11行将相关事件定义表述为“自定义节点事件”，第31行及第44行对同一枚举类型使用“自定义组件事件”，作用对象的术语不一致，可能使读者误认为“节点事件”和“组件事件”是不同类别。该问题在第31行和第44行重复出现，合并后以首次出现的第31行定位。,,| [ArkUI_NodeCustomEventType](#arkui_nodecustomeventtype) | ArkUI_NodeCustomEventType | 定义自定义节点事件类型。 |,| [ArkUI_NodeCustomEventType](#arkui_nodecustomeventtype) | ArkUI_NodeCustomEventType | 定义自定义组件事件类型。 |,"同一概念是否全文使用了统一的术语（如""应用""不应混用""App""""应用程序""）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,目标文档第31、44行都准确翻译了interface/sdk_c/arkui/ace_engine/native/node_attributes/custom_attributes.h第43-48行的“custom component event type”；“NativeNode”是API范围，“自定义组件事件”是枚举含义，并非同一术语误写。,保留目标文档第31、44行“自定义组件事件类型”，不把表格和正文改成“自定义节点事件类型”。
cms75o6ry1bmsmov47fvvsfxv,f56eb49f-f753-4482-bb74-e10355810efe,cms75o6ry1bmsmov47fvvsfxv, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-native-node-node-attributes-custom-attributes-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-native-node-node-attributes-custom-attributes-h.md,,custom_attributes.h,11,未确认,P3,ArkUI,,,中文与英文术语“NativeNode API”之间未添加空格，中英文混排格式不符合一致性要求。,,为 NativeNode API 提供自定义节点事件定义。,为NativeNode API提供自定义节点事件定义。,中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,目标文档第11行“NativeNode API”的写法与capi-arkui-nativemodule.md第35-38、65-68行同类文件表项一致；native-template.md第28-40行也没有规定中文与英文之间必须添加空格。,保留目标文档第11行“为NativeNode API提供……”的现有中英文混排方式，不仅因排版扫描添加空格。
cms75kq0h1bjwmov4ieumbhkl,f56eb49f-f753-4482-bb74-e10355810efe,cms75kq0h1bjwmov4ieumbhkl, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,,error_code.h,11,未确认,P2,ArkUI,,,该概述仅说明文档定义了错误码枚举值，未说明错误码用于标识接口调用结果和失败原因，也未体现调用方可据此判断并处理异常的整体用途与收益，模块级功能描述不完整。,,定义ArkUI Native API的错误码枚举值，用于标识接口调用结果及失败原因，便于调用方判断和处理异常。,定义错误码枚举值。,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,目标文档第11行原先只有“定义错误码枚举值”；native-template.md第28-40、83-100行要求说明文件和枚举的功能，而interface/sdk_c/arkui/ace_engine/native/error_code.h第49-379行同时包含成功结果及多类失败原因，原概述未说明错误码所表示的内容。,将目标文档第11、29、41行同步改为“定义ArkUI Native API的错误码枚举值，用于表示接口调用结果或失败原因。”
cms75k7hn1bi6mov436q9a0uv,f56eb49f-f753-4482-bb74-e10355810efe,cms75k7hn1bi6mov436q9a0uv, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.2,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,92,未确认,P2,ArkUI,,,该条目已说明错误是由接口不支持传入的输入事件类型导致，但未明确提供改用受支持输入事件类型的解决措施，且没有错误码参考链接可补充处理方法。,,| ARKUI_ERROR_INPUT_EVENT_TYPE_NOT_SUPPORTED = 180006 | 接口不支持此输入事件类型，请改用该接口支持的输入事件类型。<br>**起始版本：** 20 |,| ARKUI_ERROR_INPUT_EVENT_TYPE_NOT_SUPPORTED = 180006 |  接口不支持此输入事件类型。<br>**起始版本：** 20 |,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,否,目标文档第45-99行是ArkUI_ErrorCode枚举项汇总；native-template.md第83-100行要求枚举项说明其含义，而errorcodes-template.md第1-18行要求的“可能原因/处理步骤”适用于errorcode-xxx.md独立错误码页，并不适用于C API枚举汇总表。目标文档第92行与interface/sdk_c/arkui/ace_engine/native/error_code.h第345-349行含义一致；不同调用接口所支持的输入事件类型并不相同，通用枚举项无法给出统一替代类型。,保留目标文档第92行的枚举项简述，不在无法从接口或实现确定具体条件时补写原因、重试步骤或参数范围。
cms75k7hh1bi4mov4v3ddletb,f56eb49f-f753-4482-bb74-e10355810efe,cms75k7hh1bi4mov4v3ddletb, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.2,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,50,未确认,P2,ArkUI,,,该条目已给出内部环境错误或内部执行失败等可能原因，但未说明错误发生后的排查或处理措施，且没有错误码参考链接可补充解决措施。,,| ARKUI_ERROR_CODE_INTERNAL_ERROR = 100001 | 出现内部错误，例如内部环境错误导致失败，或者由于内部执行失败导致操作失败。请检查运行环境和操作状态，排除异常后重试。<br>**起始版本：** 15 |,| ARKUI_ERROR_CODE_INTERNAL_ERROR = 100001 |  出现内部错误，例如内部环境错误导致失败，或者由于内部执行失败导致操作失败。<br>**起始版本：** 15 |,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,否,目标文档第45-99行是ArkUI_ErrorCode枚举项汇总；native-template.md第83-100行要求枚举项说明其含义，而errorcodes-template.md第1-18行要求的“可能原因/处理步骤”适用于errorcode-xxx.md独立错误码页，并不适用于C API枚举汇总表。目标文档第50行与interface/sdk_c/arkui/ace_engine/native/error_code.h第68-74行含义一致；接口没有公开可由调用方检查的内部环境和执行状态，添加“检查后重试”会形成不可执行建议。,保留目标文档第50行的枚举项简述，不在无法从接口或实现确定具体条件时补写原因、重试步骤或参数范围。
cms75k7h91bi2mov49mpw0s1p,f56eb49f-f753-4482-bb74-e10355810efe,cms75k7h91bi2mov49mpw0s1p, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.2,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,49,未确认,P2,ArkUI,,,该条目仅说明接口初始化发生错误，未说明初始化失败的可能原因，也未提供检查初始化条件或重新初始化等处理措施；本条目没有错误码参考链接可补充相关信息。,,| ARKUI_ERROR_CODE_CAPI_INIT_ERROR = 500 | 接口初始化错误，可能是接口初始化条件不符合要求，请检查初始化条件并重新初始化。<br>**起始版本：** 18 |,| ARKUI_ERROR_CODE_CAPI_INIT_ERROR = 500 |  接口初始化错误。<br>**起始版本：** 18 |,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,否,目标文档第45-99行是ArkUI_ErrorCode枚举项汇总；native-template.md第83-100行要求枚举项说明其含义，而errorcodes-template.md第1-18行要求的“可能原因/处理步骤”适用于errorcode-xxx.md独立错误码页，并不适用于C API枚举汇总表。目标文档第49行与interface/sdk_c/arkui/ace_engine/native/error_code.h第62-67行含义一致；接口仅定义初始化错误，没有给出统一初始化前置条件，扫描建议中的“重新初始化”缺少依据。,保留目标文档第49行的枚举项简述，不在无法从接口或实现确定具体条件时补写原因、重试步骤或参数范围。
cms75k7h21bi0mov4rllvszxu,f56eb49f-f753-4482-bb74-e10355810efe,cms75k7h21bi0mov4rllvszxu, 0730_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.2,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/openharmony/docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,48,未确认,P2,ArkUI,,,该条目仅给出“参数错误”这一错误含义，未说明可能触发错误的参数问题，也未提供检查或修正参数的措施；本条目没有错误码参考链接可补充相关信息。,,| ARKUI_ERROR_CODE_PARAM_INVALID = 401 | 传入参数不符合对应接口的参数要求时会出现此错误，请检查并修正传入参数。<br>**起始版本：** 12 |,| ARKUI_ERROR_CODE_PARAM_INVALID = 401 | 参数错误。 <br>**起始版本：** 12 |,检查文档中是否提供错误码出现的可能原因、解决措施/步骤，是否提供完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,否,目标文档第45-99行是ArkUI_ErrorCode枚举项汇总；native-template.md第83-100行要求枚举项说明其含义，而errorcodes-template.md第1-18行要求的“可能原因/处理步骤”适用于errorcode-xxx.md独立错误码页，并不适用于C API枚举汇总表。目标文档第48行与interface/sdk_c/arkui/ace_engine/native/error_code.h第56-61行含义一致；401由多个接口共用，具体参数类型和取值要求应以各接口参数说明为准。,保留目标文档第48行的枚举项简述，不在无法从接口或实现确定具体条件时补写原因、重试步骤或参数范围。
